,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
1322,646350,Tracon!2012:SE,2018-02-09 00:00:00,38000.0,5.0,5.0,Indie,0.0,0.0,Simulation,1.0,0.0,1.0,,mixed,single only,7.0,6.0,0.2,4.0,
1323,646360,El Ministerio del Tiempo VR: El tiempo en tus manos,2017-07-01 00:00:00,0.0,6.0,6.0,Adventure,0.0,0.0,Adventure,2.0,0.0,0.0,,positive,single only,14.0,3.0,0.0,3.0,
1324,646370,Vesta,2018-01-19 00:00:00,10500.0,6.0,6.0,Adventure,0.0,21.0,Indie,2.0,0.0,0.0,,positive,single only,25.0,1.0,,,69.6
1325,646430,HARP Vefa,2017-10-06 00:00:00,5500.0,6.0,6.0,Action,0.0,0.0,Action,2.0,0.0,0.0,,mostly negative,single only,12.0,20.0,,,
1326,646440,Redfoot Bluefoot Dancing,2017-06-21 00:00:00,0.0,6.0,6.0,Action,0.0,0.0,Indie,1.0,0.0,0.0,,8 user reviews,single only,3.0,5.0,,,
1327,646460,CompliKATed,2017-10-04 00:00:00,7500.0,6.0,6.0,Action,0.0,30.0,1990's,1.0,0.0,0.0,,7 user reviews,single only,14.0,1.0,,,93.3
1328,646470,Alicia Quatermain: Secrets Of The Lost Treasures,2017-09-01 00:00:00,3300.0,5.0,5.0,Casual,0.0,20.0,Casual,10.0,0.0,0.0,,very positive,single only,110.0,17.0,1.2,12,93.4
1329,646500,Egypt: Old Kingdom,2018-05-24 00:00:00,15500.0,4.0,4.0,Indie,0.0,89.0,Indie,9.0,0.0,1.0,,very positive,single only,825.0,129.0,10.8,271,60.2
1330,646530,Hop Step Sing! kiss×kiss×kiss (HQ Edition),2017-06-30 00:00:00,5500.0,6.0,5.0,Casual,0.0,0.0,Casual,4.0,0.0,0.0,,very positive,single only,51.0,4.0,,,
1331,646570,Slay the Spire,2019-01-24 00:00:00,26000.0,3.0,3.0,Indie,0.0,46.0,Roguelike Deckbuilder,17.0,0.0,1.0,overwhelmingly positive,overwhelmingly positive,single only,111946.0,2413.0,9586.9,32937,90.8
1332,646600,Baobabs Mausoleum Ep.1: Ovnifagos Don´t Eat Flamingos,2017-07-06 00:00:00,6500.0,5.0,5.0,Adventure,0.0,13.0,Adventure,4.0,0.0,0.0,,mostly positive,single only,97.0,35.0,,,83.9
1333,646680,Roman Adventures: Britons. Season 1,2018-09-21 00:00:00,6500.0,6.0,6.0,Adventure,0.0,0.0,Casual,6.0,0.0,0.0,,positive,single only,25.0,2.0,,,
1334,646820,Might & Mayhem,2017-06-05 00:00:00,0.0,6.0,6.0,Free to Play,0.0,0.0,Free to Play,5.0,0.0,0.0,,mixed,single only,47.0,37.0,1.8,82,
1335,646830,Blood of Darkness,2021-04-20 00:00:00,2200.0,6.0,6.0,Action,1.0,0.0,Early Access,2.0,0.0,0.0,,positive,single only,10.0,1.0,,,
