,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
73,4000,1,Garry's Mod,2006-11-29,10500.0,2,6,Indie,0,29,Sandbox,25,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,822717,29012,28775.6,73750.0,87.6
74,292030,1,The Witcher® 3: Wild Hunt,2015-05-18,34800.0,1,1,RPG,0,78,Open World,16,1,1,,overwhelmingly positive *,single only,617325,25026,13510.0,103329.0,64.7
75,322330,1,Don't Starve Together,2016-04-22,15500.0,1,1,Adventure,0,0,Exploration,2,0,1,very positive,overwhelmingly positive,single and multi,328375,13263,20350.5,66829.0,
76,264710,1,Subnautica,2018-01-23,31000.0,2,2,Adventure,0,17,Open World Survival Craft,23,0,1,overwhelmingly positive,overwhelmingly positive,single only,191742,7232,3253.6,50876.0,83.6
77,391540,1,Undertale,2015-09-15,10500.0,6,6,Indie,0,0,Great Soundtrack,2,0,1,overwhelmingly positive,overwhelmingly positive,single only,175114,6069,689.1,10462.0,
78,632360,1,Risk of Rain 2,2020-08-11,26000.0,2,2,Action,1,118,Third-Person Shooter,11,0,1,very positive,overwhelmingly positive,single and multi,198996,7353,9487.6,71033.0,79.9
79,203160,1,Tomb Raider,2013-03-05,2200.0,1,1,Action,0,50,Adventure,13,0,1,overwhelmingly positive,overwhelmingly positive,single only,206396,8180,777.8,89494.0,57.3
80,22380,1,Fallout: New Vegas,2010-10-22,10500.0,2,1,Action,0,75,Open World,5,0,1,overwhelmingly positive,overwhelmingly positive,single only,154923,5665,4592.1,30309.0,93.1
81,10,1,Counter-Strike,2000-11-01,10500.0,1,1,Action,0,0,Action,8,0,0,overwhelmingly positive,overwhelmingly positive,,198326,5132,8957.3,65188.0,
82,427520,1,Factorio,2020-08-14,,6,6,Casual,0,38,Automation,22,0,1,,overwhelmingly positive *,single and multi,145086,5210,11046.5,34640.0,61.5
83,284160,1,BeamNG.drive,2015-05-30,26000.0,3,3,Racing,0,0,Simulation,11,0,0,overwhelmingly positive,overwhelmingly positive,single only,127265,4196,7370.4,15811.0,
84,8930,1,Sid Meier's Civilization® V,2010-09-24,32000.0,2,1,Strategy,0,286,Turn-Based Strategy,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,178687,7165,15742.7,91020.0,89.1
85,268910,1,Cuphead,2017-09-29,21000.0,2,2,Action,0,42,Difficult,12,0,1,overwhelmingly positive,overwhelmingly positive,single and multi,107915,3871,7190.8,19076.0,77.8
86,240,1,Counter-Strike: Source,2004-11-02,10500.0,1,1,Action,0,147,Shooter,12,0,0,overwhelmingly positive,overwhelmingly positive,,135132,5345,5249.4,48458.0,62.6
87,270880,1,American Truck Simulator,2016-02-02,24800.0,1,1,Indie,0,80,Automobile Sim,24,0,1,,overwhelmingly positive *,single and multi,104560,3860,5337.2,19138.0,
88,1057090,1,Ori and the Will of the Wisps,2020-03-11,29900.0,2,1,Action,0,37,Beautiful,21,1,1,overwhelmingly positive,overwhelmingly positive,single only,86269,3149,1242.8,31224.0,84.3
89,219740,1,Don't Starve,,10500.0,1,6,Adventure,0,0,Survival,2,0,1,very positive,overwhelmingly positive,single only,93792,3110,1949.5,16556.0,
90,1426210,1,It Takes Two,2021-03-26,,2,1,Action,0,20,Co-op,12,1,0,overwhelmingly positive,overwhelmingly positive,multi only,90560,3732,6177.0,32647.0,62.9
91,457140,1,Oxygen Not Included,2019-07-31,26000.0,1,1,Indie,0,45,Colony Sim,4,0,1,overwhelmingly positive,overwhelmingly positive,single only,82951,3015,7455.1,27380.0,
92,204360,1,Castle Crashers®,2012-09-27,15500.0,2,2,Action,0,12,Co-op,11,0,1,overwhelmingly positive,overwhelmingly positive,single and multi,89410,3466,907.4,15960.0,49.3
93,238320,1,Outlast,2013-09-04,20500.0,2,2,Action,0,14,Horror,9,0,1,overwhelmingly positive,overwhelmingly positive,single only,84335,3242,492.8,11684.0,44.5
94,70,1,Half-Life,1998-11-09,10500.0,1,1,Action,0,0,FPS,8,0,1,overwhelmingly positive,overwhelmingly positive,single only,73270,2614,678.4,5998.0,
95,311690,1,Enter the Gungeon,2016-04-05,16000.0,1,1,Action,0,54,Bullet Hell,11,0,0,very positive,overwhelmingly positive,single only,64568,2618,1175.1,15767.0,86.6
96,620980,1,Beat Saber,2019-05-22,31000.0,6,6,Indie,0,26,VR,7,1,1,overwhelmingly positive,overwhelmingly positive,single only,61267,2547,950.9,42095.0,80.5
97,1196590,1,Resident Evil Village,2021-05-07,48400.0,1,1,Action,0,49,Survival Horror,13,1,1,overwhelmingly positive,overwhelmingly positive,single only,73907,3145,1227.2,106631.0,90.2
98,683320,1,GRIS,2018-12-13,17500.0,1,1,Adventure,0,17,Beautiful,10,1,1,overwhelmingly positive,overwhelmingly positive,single only,54211,1923,151.5,1345.0,91.7
99,206440,1,To the Moon,2011-11-01,10500.0,2,2,Adventure,0,0,Story Rich,13,0,1,overwhelmingly positive,overwhelmingly positive,single only,60018,2217,98.1,601.0,
